"","x"
"1",0.967741935483871
"2",0
"3",0.838709677419355
"4",0.32258064516129
"5",0
"6",0
"7",0
"8",0
"9",0.67741935483871
"10",0.967741935483871
"11",0.967741935483871
"12",0.903225806451613
"13",0
"14",0
"15",0
"16",0
"17",0.935483870967742
"18",0
"19",0
"20",0
"21",0
"22",0.870967741935484
"23",0.612903225806452
"24",0.548387096774194
"25",0
"26",0
"27",0
"28",0
"29",0.967741935483871
"30",0.935483870967742
"31",0
"32",1
"33",0
"34",0
"35",0.580645161290323
"36",0
"37",0.967741935483871
"38",0
"39",0
"40",0.806451612903226
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.870967741935484
"54",0
"55",0
"56",0.806451612903226
"57",0
"58",0
"59",0
"60",0
"61",0.419354838709677
"62",0.129032258064516
"63",0
"64",0
"65",0
"66",0.483870967741935
"67",0
"68",0
"69",0
"70",0
"71",1
"72",0
"73",0.935483870967742
"74",0
"75",0.774193548387097
"76",0.67741935483871
"77",0
"78",0.67741935483871
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.290322580645161
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.32258064516129
"93",0
"94",0
"95",0
"96",1
"97",0.870967741935484
"98",0
"99",0
"100",0
